3	10	X_BURGUER	12.00	3	36.00
3	12	X_BACON	15.00	1	15.00
3	20	BATATA_FRITA	10.00	6	60.00
3	31	GUARANA	8.00	3	24.00
5	11	X_SALADA	14.00	14	196.00
8	12	X_BACON	15.00	65	975.00
8	31	GUARANA	8.00	9	72.00
10	20	BATATA_FRITA	10.00	5	50.00
10	31	GUARANA	8.00	1	8.00
28	21	NUGGETS	11.00	21	231.00
31	10	X_BURGUER	12.00	5	60.00
31	20	BATATA_FRITA	10.00	4	40.00
31	30	COCA_COLA	9.00	1	9.00
31	31	GUARANA	8.00	3	24.00
31	21	NUGGETS	11.00	2	22.00
35	30	COCA_COLA	9.00	5	45.00
35	11	X_SALADA	14.00	5	70.00
35	31	GUARANA	8.00	10	80.00
35	21	NUGGETS	11.00	9	99.00
35	11	X_SALADA	14.00	3	42.00
35	31	GUARANA	8.00	60	480.00
