11	20	BATATA_FRITA	10.00	5	50.00
11	11	X_SALADA	14.00	1	14.00
11	12	X_BACON	15.00	1	15.00
11	10	X_BURGUER	12.00	3	36.00
11	30	COCA_COLA	9.00	3	27.00
11	31	GUARANA	8.00	1	8.00
11	32	FANTA_UVA	8.50	1	8.50
18	12	X_BACON	15.00	1	15.00
18	20	BATATA_FRITA	10.00	3	30.00
23	21	NUGGETS	11.00	99	1089.00
29	10	X_BURGUER	12.00	3	36.00
29	31	GUARANA	8.00	3	24.00
31	11	X_SALADA	14.00	3	42.00
31	21	NUGGETS	11.00	1	11.00
31	20	BATATA_FRITA	10.00	3	30.00
31	31	GUARANA	8.00	3	24.00
33	13	X_FRANGO	12.50	2	25.00
33	11	X_SALADA	14.00	3	42.00
33	21	NUGGETS	11.00	2	22.00
33	30	COCA_COLA	9.00	2	18.00
33	20	BATATA_FRITA	10.00	3	30.00
33	31	GUARANA	8.00	1	8.00
33	12	X_BACON	15.00	2	30.00
33	32	FANTA_UVA	8.50	6	51.00
33	13	X_FRANGO	12.50	1	12.50
33	13	X_FRANGO	12.50	2	25.00
